,,,,,
ANK2,ENSG00000145362.16,0.515,8.155,-2.595,8.72e-29
ANKRD29,ENSG00000154065.16,0.610,5.225,-1.951,1.62e-13
ANKRD35,ENSG00000198483.12,1.395,5.944,-1.536,1.58e-11
ANKRD44,ENSG00000065413.16,1.550,5.220,-1.286,2.29e-16
ANLN,ENSG00000011426.10,16.720,1.540,2.802,3.98e-19
ANO6,ENSG00000177119.15,16.470,36.063,-1.085,4.80e-7
ANTXR2,ENSG00000163297.16,11.010,88.620,-2.900,4.26e-21
ANXA6,ENSG00000197043.13,29.675,155.007,-2.346,2.43e-14
ANXA8,ENSG00000265190.6,102.249,42.803,1.237,4.77e-4
ANXA8L1,ENSG00000264230.7,55.614,22.949,1.241,1.13e-3
AOC3,ENSG00000131471.6,6.040,80.234,-3.528,3.88e-29
AOX1,ENSG00000138356.13,0.305,13.038,-3.427,2.82e-50
AP000251.3,ENSG00000237594.2,1.845,0.245,1.192,2.76e-10
AP000349.2,ENSG00000280178.1,8.625,0.620,2.571,2.69e-10
AP000892.6,ENSG00000280143.1,3.370,50.678,-3.564,1.70e-25
AP003068.9,ENSG00000254501.1,4.725,1.145,1.416,2.24e-5
AP003391.1,ENSG00000281272.1,13.910,0.058,3.816,8.67e-3
AP1M2,ENSG00000129354.11,86.843,30.419,1.483,4.61e-16
AP1S2,ENSG00000182287.13,6.215,14.738,-1.125,3.64e-7
AP2S1,ENSG00000042753.11,173.849,83.279,1.053,1.78e-12
APBB1,ENSG00000166313.18,4.340,27.436,-2.413,7.13e-19
APBB2,ENSG00000163697.16,4.875,11.405,-1.078,8.36e-5
APCDD1,ENSG00000154856.12,9.245,37.182,-1.898,5.47e-11
APCDD1L,ENSG00000198768.10,0.290,2.107,-1.268,2.79e-5
APOBEC3B,ENSG00000179750.15,14.385,2.325,2.210,3.91e-9
APOC1,ENSG00000130208.9,102.963,15.507,2.655,1.74e-14
APOC2,ENSG00000234906.8,2.380,0.280,1.401,2.54e-6
APOC4-APOC2,ENSG00000224916.8,2.585,0.734,1.048,4.96e-5
APOD,ENSG00000189058.8,9.330,132.422,-3.691,1.48e-11
APOLD1,ENSG00000178878.12,4.345,20.922,-2.036,6.02e-22
AQP1,ENSG00000240583.10,25.640,197.096,-2.895,1.30e-27
AQP7,ENSG00000165269.12,0.470,4.245,-1.835,7.11e-9
AR,ENSG00000169083.15,0.465,4.710,-1.963,3.48e-9
ARAP1-AS1,ENSG00000256007.1,18.904,0.687,3.561,6.99e-13
ARHGAP1,ENSG00000175220.11,47.430,100.388,-1.066,3.74e-12
ARHGAP10,ENSG00000071205.11,11.170,31.430,-1.414,2.58e-16
ARHGAP11A,ENSG00000198826.10,5.990,1.205,1.665,9.28e-12
ARHGAP20,ENSG00000137727.12,0.125,2.604,-1.680,5.76e-51
ARHGAP24,ENSG00000138639.17,1.670,7.947,-1.745,8.17e-16
ARHGAP40,ENSG00000124143.10,4.230,1.395,1.127,6.71e-3
ARHGAP6,ENSG00000047648.21,0.680,11.633,-2.911,1.89e-24
ARHGAP8,ENSG00000241484.9,15.850,3.819,1.806,9.94e-15
ARHGEF10,ENSG00000104728.15,3.395,11.054,-1.456,5.05e-12
ARHGEF15,ENSG00000198844.10,1.970,5.594,-1.151,1.06e-11
ARHGEF17,ENSG00000110237.3,6.235,23.763,-1.775,2.28e-14
ARHGEF25,ENSG00000240771.6,6.650,50.130,-2.741,1.22e-21
ARHGEF26,ENSG00000114790.12,1.505,7.500,-1.763,8.75e-16
ARHGEF37,ENSG00000183111.11,1.480,6.912,-1.674,3.92e-16
ARHGEF39,ENSG00000137135.17,5.215,1.840,1.130,1.42e-10
ARHGEF4,ENSG00000136002.16,2.700,10.875,-1.682,1.13e-3
ARHGEF6,ENSG00000129675.15,3.155,8.709,-1.224,1.58e-9
ARID5A,ENSG00000196843.15,12.595,34.735,-1.394,2.97e-15
ARID5B,ENSG00000150347.14,7.250,20.453,-1.379,3.41e-14
ARL4D,ENSG00000175906.4,15.040,38.257,-1.291,1.74e-4
ARL6IP1,ENSG00000170540.14,152.783,73.559,1.044,1.98e-9
ARMCX1,ENSG00000126947.11,2.635,18.684,-2.437,3.01e-16
ARMCX2,ENSG00000184867.13,11.145,28.869,-1.298,4.51e-4
ARMCX4,ENSG00000196440.11,2.950,7.220,-1.057,1.11e-9
ARMCX7P,ENSG00000204072.3,12.890,3.426,1.650,2.79e-7
ARNT2,ENSG00000172379.18,0.960,3.261,-1.120,5.28e-5
ARNTL2,ENSG00000029153.14,7.195,2.530,1.215,5.76e-5
ARRB1,ENSG00000137486.16,7.050,16.288,-1.103,1.41e-5
ARRDC4,ENSG00000140450.8,3.770,10.793,-1.306,1.49e-10
ASB2,ENSG00000100628.11,1.075,13.820,-2.836,5.04e-33
ASB5,ENSG00000164122.8,0.020,8.039,-3.148,1.06e-35
ASF1B,ENSG00000105011.8,20.659,1.819,2.942,1.23e-34
ASH1L,ENSG00000116539.10,5.740,14.683,-1.218,1.98e-7
ASPA,ENSG00000108381.10,0.150,3.694,-2.029,9.45e-45
ASPM,ENSG00000066279.16,5.955,0.375,2.339,2.05e-21
ATAD2,ENSG00000156802.12,10.615,3.765,1.285,1.50e-8
ATAD3A,ENSG00000197785.13,30.930,14.485,1.044,4.94e-12
ATE1,ENSG00000107669.17,5.605,12.508,-1.032,6.53e-10
